OBJECTID,UUID,LITSTRAT_FORMATION_BANK,GEOL_MAPPING_UNIT,CHRONO_TOP,CHRONO_BASE,LITHO_MAIN,LITHO_SEC,LITHO_TER,CORRELATION
2812,{5D8799EC-D876-429F-A7B6-C899A3372F37},15255175.0,15203339.0,15001086.0,15001087.0,15111297.0,15111277.0,15111132.0,15285049.0
2813,{5E6718D8-CEE5-430A-A732-E688717FFA72},15255262.0,15203340.0,15001091.0,15001136.0,15111608.0,15111510.0,15111630.0,15287009.0
2814,{86C2FCA4-5EDD-4270-9D42-4C1C57482B34},15255329.0,15203341.0,15001072.0,15001073.0,15111636.0,15111569.0,,15285041.0
2815,{B78FB822-5861-44BA-A83C-9AAA81AD0583},15255327.0,15203342.0,15001067.0,15001071.0,15111631.0,15111368.0,15111020.0,15285041.0
2816,{001DA647-FC20-49B6-8769-11E75A64C9EA},15255324.0,15203343.0,15001051.0,15001051.0,15111505.0,15111600.0,,15285030.0
2817,{D84C4B5D-40DC-44EF-9B89-1E9576D92955},15255306.0,15203344.0,15001052.0,15001053.0,15111028.0,,,15285025.0
2818,{C509EBE6-BAE3-4138-8BF2-5763810780B5},15255061.0,15203345.0,15001049.0,15001049.0,15111017.0,,,15285024.0
2819,{74739B09-37CC-4087-8714-922BF3542BE3},15255132.0,15203346.0,15001070.0,15001075.0,15111322.0,,,15285043.0
2820,{50D97696-7F7A-418E-879D-553BF33603AB},15255222.0,15203347.0,15001070.0,15001075.0,15111577.0,,,15285043.0
2822,{22959D2F-757B-4522-B09D-23D1366600B6},15255002.0,15203349.0,15001070.0,15001075.0,15111589.0,15111614.0,15111486.0,15285001.0
2823,{D32F5AC3-33C4-40B3-8C43-3480F03C86CC},15254001.0,15203350.0,15001037.0,15001040.0,15111090.0,15111059.0,15111582.0,15285024.0
2824,{A734F11D-119D-48E8-9844-6809B4C8E4AE},15254002.0,15203351.0,15001037.0,15001040.0,15111510.0,15111056.0,15111486.0,15285024.0
2825,{525DC4E4-686D-4611-A59D-DD165C9DF495},15254003.0,15203352.0,15001037.0,15001040.0,15111510.0,15111346.0,,15285024.0
2826,{E053C2FB-0117-4FF8-805E-DD74E9F1ACB5},15254004.0,15203353.0,15001037.0,15001040.0,15111489.0,,,15285024.0
2827,{67D2DB1E-3369-47C2-8B11-C64CF07ECA44},15254005.0,15203354.0,15001040.0,15001051.0,15111589.0,,,15285030.0
2951,{3950CD66-5BD2-4D21-B03B-DBA577A2720F},15254006.0,15203355.0,15001040.0,15001051.0,15111505.0,15111056.0,15111579.0,15285030.0
2944,{76FE866D-BEE7-4227-9451-DB5A6AD023EE},15254007.0,15203356.0,15001040.0,15001051.0,15111589.0,15111044.0,15111186.0,15285030.0
2931,{A991815B-ACB8-48DF-BB30-8819C6F6D677},15254008.0,15203357.0,15001040.0,15001051.0,15111074.0,15111056.0,,15285035.0
2933,{A4CD6EA1-24C2-4793-A03C-7C6B98EC9ADA},,15203358.0,15001064.0,15001075.0,15111486.0,15111044.0,15111028.0,15285001.0
2934,{7BAD473D-4437-4D0A-8828-918EC6DF27C1},15254009.0,15203359.0,15001064.0,15001064.0,15111486.0,15111589.0,,15285030.0
2935,{05C96552-028D-4CBC-8416-F9DFD6608DE6},15254010.0,15203360.0,15001067.0,15001069.0,15111489.0,,,15285037.0
2936,{BA01AE2B-2B12-4DB9-AB97-6E6721847390},15254011.0,15203361.0,15001071.0,15001072.0,15111056.0,,,15285043.0
2835,{8277E95C-BDF0-43AA-8403-64EA3F75FF6F},15254012.0,15203362.0,15001070.0,15001075.0,15111028.0,,,15285043.0
2937,{6A4CEFAA-B407-4B66-B6BE-8A053E9C9508},15254019.0,15203363.0,15001049.0,15001091.0,15111579.0,,,15287001.0
2837,{FA7B17EE-AD2F-44FA-BB92-B46E293D7FEC},15254018.0,15203364.0,15001049.0,15001091.0,15111516.0,,,15287001.0
2838,{D932745E-96E9-4E17-99A0-0D817827DF82},15254013.0,15203365.0,15001110.0,15001110.0,15111533.0,,,15287001.0
2839,{732B2660-F3D3-4E57-8F80-1BB833BA5651},,15203366.0,15001052.0,15001059.0,15111221.0,15111132.0,15111005.0,15285031.0
2840,{06651E39-6CB0-4C30-820D-A7E79EF700D4},,15203367.0,15001075.0,15001075.0,15111618.0,15111507.0,,15285001.0
2841,{E8D106E5-ABEA-49D8-B157-6A3F967B4BBC},15255060.0,15203368.0,15001034.0,15001040.0,15111614.0,15111505.0,15111589.0,15285024.0
2842,{F2DD6977-E457-4D29-9385-891BD75A52A8},15255060.0,15203369.0,15001034.0,15001040.0,15111028.0,,,15285024.0
2941,{9D6E6D9D-BA70-4979-AE8F-D3DD2E33EB69},15255055.0,15203370.0,15001049.0,15001091.0,15111565.0,15111468.0,,15285024.0
2844,{F402AE51-A46E-4939-BB5D-1A0DF666E0A0},15255056.0,15203371.0,15001049.0,15001091.0,15111510.0,15111636.0,15111028.0,15285024.0
2845,{911EDCA6-E99B-43E0-8945-C32378334C69},15255057.0,15203372.0,15001051.0,15001058.0,15111614.0,15111593.0,15111186.0,15285001.0
